Open time,Day,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,,spot,,basis,fundingRate,,,,,
1.57E+12,10/11/2019 0:00,8557,8569,8491.3,8502.97,2582.252,1.57E+12,22001748.13,4015,1321.323,11255626.46,0,,8502.41,0.560002732,1.000065864,0.0001,0,1,-0.199343072,,
1.57E+12,10/11/2019 1:00,8502.96,8527.05,8475.46,8523.91,1746.407,1.57E+12,14851510.15,2976,918.299,7809148.153,0,,8525.32,-1.410002675,0.99983461,0,0,1,-0.426152236,,
1.57E+12,10/11/2019 2:00,8523.82,8525.43,8495.06,8508.09,1213.626,1.57E+12,10329135.76,2265,413.873,3521798.214,0,,8508.85,-0.760001973,0.999910681,0,0,1,-0.351543364,,
1.57E+12,10/11/2019 3:00,8507.84,8555.68,8500.01,8551.26,1504.4,1.57E+12,12838372.62,2942,612.243,5226606.732,0,,8553.35,-2.090002519,0.999755651,0,0,1,-0.503593598,,
1.57E+12,10/11/2019 4:00,8551.69,8708,8531.51,8693.59,4807.479,1.57E+12,41475950.59,7331,2392.605,20652496.69,0,,8698,-4.409999074,0.999492987,0,0,1,-0.761209043,,
1.57E+12,10/11/2019 5:00,8697.4,8788,8332.6,8436.68,16004.548,1.57E+12,136289911.9,21769,7675.583,65362069.31,0,,8444.01,-7.330000205,0.999131929,0,0,1,-1.115327299,,
1.57E+12,10/11/2019 6:00,8439.83,8439.83,8369.73,8426.54,6147.293,1.57E+12,51688446.47,7503,2981.713,25068632.88,0,,8428.8,-2.259997286,0.999731872,0,0,1,-0.526915552,,
1.57E+12,10/11/2019 7:00,8426.04,8432.56,8377.23,8385.26,1936.503,1.57E+12,16265986.84,3933,1039.181,8728854.632,0,,8387.69,-2.42999767,0.99971029,0,0,1,-0.548082733,,
1.57E+12,10/11/2019 8:00,8384.6,8386.61,8291,8354.02,3906.6,1.57E+12,32583480.19,6690,1843.43,15371403.95,0,,8355.79,-1.76999864,0.999788171,0.0001,0,1,-0.471698651,,
1.57E+12,10/11/2019 9:00,8353.15,8375,8343.59,8355.51,1363.254,1.57E+12,11395222.84,3566,545.1,4556723.84,0,,8348.78,6.730001651,1.000806106,0,0,0,0.526671047,,
1.57E+12,10/11/2019 10:00,8356.28,8373,8340.07,8366.91,523.779,1.57E+12,4378230.999,2552,326.876,2732997.455,0,,8367.51,-0.600000672,0.999928294,0,0,1,-0.334268896,,
1.57E+12,10/11/2019 11:00,8365.37,8367.99,8280,8295.88,4375.552,1.57E+12,36388800.34,6589,2205.404,18338526.52,0,,8297.5,-1.6200039,0.99980476,0,0,1,-0.455428501,,
1.57E+12,10/11/2019 12:00,8295.74,8354,8268.51,8335.75,2355.411,1.57E+12,19585039.23,5301,1272.155,10581608.44,0,,8337.63,-1.880002163,0.999774516,0,0,1,-0.485091194,,
1.57E+12,10/11/2019 13:00,8335.68,8357.3,8321.23,8338.93,1414.796,1.57E+12,11801201.98,3343,762.815,6362526.671,0,,8340.83,-1.89999937,0.999772205,0,0,1,-0.487357775,,
1.57E+12,10/11/2019 14:00,8338.89,8339.52,8284,8316.07,2244.774,1.57E+12,18670999.32,4408,1209.122,10056322.59,0,,8318,-1.930000586,0.999767973,0,0,1,-0.491508434,,
1.57E+12,10/11/2019 15:00,8315.07,8347.34,8293,8341,1685.077,1.57E+12,14027045.06,3517,903.682,7520767.492,0,,8343.47,-2.470000859,0.99970396,0,0,1,-0.554291067,,
1.57E+12,10/11/2019 16:00,8341,8349.8,8277.37,8338.92,3491.305,1.57E+12,29014906.04,5889,1474.669,12254354.89,0,,8343.46,-4.540001981,0.999455861,0.0001,0,1,-0.79762146,,
1.57E+12,10/11/2019 17:00,8338.91,8369.99,8327,8337.06,1988.597,1.57E+12,16596637.29,3982,881.899,7361499.838,0,,8337.16,-0.099995897,0.999988006,0,0,1,-0.275704596,,
1.57E+12,10/11/2019 18:00,8336.98,8354.99,8303.36,8312.46,1574.562,1.57E+12,13113671.48,3253,650.538,5415859.679,0,,8314.84,-2.379998227,0.999713765,0,0,1,-0.544674525,,
1.57E+12,10/11/2019 19:00,8311.88,8343.14,8307.55,8340.96,1224.143,1.57E+12,10191540.57,1815,309.596,2576807.277,0,,8344.01,-3.050002663,0.999634468,0,0,1,-0.62244739,,
1.57E+12,10/11/2019 20:00,8341.64,8350,8318.03,8321.6,1873.658,1.57E+12,15614337.13,3172,824.982,6877082.838,0,,8324.32,-2.719996533,0.999673247,0,0,1,-0.584413745,,
1.57E+12,10/11/2019 21:00,8322.72,8326.3,8305,8311.32,1097.823,1.57E+12,9128798.997,2695,515.256,4284463.955,0,,8312.64,-1.319997356,0.999841206,0,0,1,-0.419683015,,
1.57E+12,10/11/2019 22:00,8310.49,8341.9,8309.92,8312.45,1188.61,1.57E+12,9897012.408,2446,356.81,2970524.819,0,,8314.5,-2.049998177,0.999753443,0,0,1,-0.505759159,,
1.57E+12,10/11/2019 23:00,8312.45,8318.91,8210,8255.58,2907.515,1.57E+12,24044656.62,5019,1420.228,11745227.11,0,,8258.5,-2.919999138,0.999646425,0,0,1,-0.610720211,,
1.57E+12,10/12/2019 0:00,8255.54,8305.99,8248.34,8272,2126.131,1.57E+12,17603376.97,3715,926.113,7665616.096,0,,8272.38,-0.380000048,0.999954064,0.0001,0,1,-0.308994211,,
1.57E+12,10/12/2019 1:00,8272,8327.91,8265,8307.4,1708.824,1.57E+12,14176257.12,3623,589.798,4892878.298,0,,8308.74,-1.340000352,0.999838724,0,0,1,-0.422117309,,
1.57E+12,10/12/2019 2:00,8307.4,8325,8292.59,8301,1117.313,1.57E+12,9281623.758,2716,379.391,3151276.066,0,,8302.48,-1.480000085,0.99982174,0,0,1,-0.438774867,,
1.57E+12,10/12/2019 3:00,8301,8320,8291.25,8306.56,947.332,1.57E+12,7866639.5,2206,359.775,2987880.065,0,,8308.3,-1.739998961,0.999790571,0,0,1,-0.469344781,,
1.57E+12,10/12/2019 4:00,8307.01,8327.18,8303,8312.35,1024.735,1.57E+12,8522072.145,2169,300.033,2494587.617,0,,8314.09,-1.739997697,0.999790717,0,0,1,-0.469201587,,
1.57E+12,10/12/2019 5:00,8312.74,8349.9,8309.33,8328.8,1412.567,1.57E+12,11769062.53,2767,609.353,5076966.337,0,,8330.82,-2.019998918,0.999757527,0,0,1,-0.501753656,,
1.57E+12,10/12/2019 6:00,8328,8356,8328,8337.09,2290.617,1.57E+12,19101718.91,3128,935.702,7802836.834,0,,8340.93,-3.839997353,0.99953962,0,0,1,-0.715472357,,
1.57E+12,10/12/2019 7:00,8337.3,8344.8,8322.36,8336.35,1157.347,1.57E+12,9644978.865,2191,399.664,3330242.49,0,,8338.62,-2.269997507,0.999727773,0,0,1,-0.530935767,,
1.57E+12,10/12/2019 8:00,8336.33,8344.71,8323,8338.42,1067.206,1.57E+12,8895296.129,2026,316.042,2632698.98,0,,8341,-2.579996415,0.999690685,0.0001,0,1,-0.567310914,,
1.57E+12,10/12/2019 9:00,8338.25,8366.79,8334.55,8335.47,1040.428,1.57E+12,8687284.138,2727,317.694,2652837.19,0,,8336.68,-1.210002409,0.999854858,0,0,1,-0.406293414,,
1.57E+12,10/12/2019 10:00,8335.47,8335.47,8289.26,8309.13,2176.461,1.57E+12,18094655,4057,1240.476,10312671.6,0,,8311.44,-2.309998519,0.99972207,0,0,1,-0.536529152,,
1.57E+12,10/12/2019 11:00,8308.65,8340,8296.35,8319.75,1390.371,1.57E+12,11567727.64,2658,616.922,5131616.187,0,,8321.41,-1.659996474,0.999800515,0,0,1,-0.45959191,,
1.57E+12,10/12/2019 12:00,8319.74,8334.67,8304.7,8330.75,1138.67,1.57E+12,9472445.414,2442,355.941,2960885.817,0,,8331.91,-1.160001838,0.999860776,0,0,1,-0.400489161,,
1.57E+12,10/12/2019 13:00,8331.23,8337.45,8313.19,8328.65,1052.775,1.57E+12,8765636.508,2168,265.493,2210426.882,0,,8332.71,-4.05999629,0.999512764,0,0,1,-0.741812169,,
1.57E+12,10/12/2019 14:00,8328.94,8397.45,8308.16,8385.12,2562.05,1.57E+12,21395068.43,4614,1208.765,10096451.82,0,,8385.18,-0.059995963,0.999992845,0,0,1,-0.270958604,,
1.57E+12,10/12/2019 15:00,8385.12,8393.09,8347.23,8368.79,2304.885,1.57E+12,19281700.4,4127,1035.905,8664967.84,0,,8372.42,-3.62999665,0.999566434,0,0,1,-0.689173737,,
1.57E+12,10/12/2019 16:00,8368.94,8395,8321.9,8332.34,2561.327,1.57E+12,21378819.76,4373,1193.968,9964111.857,0,,8333.72,-1.379997362,0.999834408,0.0001,0,1,-0.426350353,,
1.57E+12,10/12/2019 17:00,8332.38,8342.92,8316.09,8323.05,1370.785,1.57E+12,11420939.02,2402,595.848,4963918.688,0,,8322.67,0.379996467,1.000045658,0,0,1,-0.219160701,,
1.57E+12,10/12/2019 18:00,8323.23,8328,8290.5,8304.13,1313.09,1.57E+12,10913421.52,3148,625.614,5198750.56,0,,8306.28,-2.149997515,0.99974116,0,0,1,-0.517806072,,
1.57E+12,10/12/2019 19:00,8304.13,8324,8295,8307.99,1667.427,1.57E+12,13852315.11,2085,737.559,6125953.502,0,,8309.86,-1.870001035,0.999774966,0,0,1,-0.484649843,,
1.57E+12,10/12/2019 20:00,8307.99,8339.13,8307.97,8335.09,1594.718,1.57E+12,13272028.38,2016,729.239,6070965.138,0,,8335.95,-0.86000329,0.999896832,0,0,1,-0.365126179,,
1.57E+12,10/12/2019 21:00,8335.53,8343.65,8314.21,8330.58,1128.269,1.57E+12,9392848.553,2322,450.163,3747961.539,0,,8332,-1.419997764,0.999829573,0,0,1,-0.431092422,,
1.57E+12,10/12/2019 22:00,8330.58,8342.42,8315.6,8320.04,1729.485,1.57E+12,14404777.52,2222,512.284,4267347.401,0,,8321.07,-1.029998687,0.999876218,0,0,1,-0.385343966,,
1.57E+12,10/12/2019 23:00,8318.05,8326,8292,8300.22,1878.701,1.57E+12,15618637.51,2471,606.537,5041008.2,0,,8300.09,0.12999601,1.000015662,0,0,1,-0.24858016,,
1.57E+12,10/13/2019 0:00,8300.31,8330.33,8277.32,8316.44,1854.447,1.57E+12,15403764.04,2843,624.688,5187593.875,0,,8320.52,-4.080000264,0.999509646,0.0001,0,1,-0.744870239,,
1.57E+12,10/13/2019 1:00,8319.47,8360,8316.55,8339.16,1529.755,1.57E+12,12756420.55,2833,600.01,5004780.067,0,,8341.47,-2.310003287,0.99972307,0,0,1,-0.535548372,,
1.57E+12,10/13/2019 2:00,8339.53,8349.38,8325.23,8337.84,1059.114,1.57E+12,8831862.313,1910,333.477,2780147.587,0,,8339.38,-1.539999947,0.999815334,0,0,1,-0.44505774,,
1.57E+12,10/13/2019 3:00,8337.84,8341.94,8325.52,8336.51,1319.144,1.57E+12,10993884.47,2164,463.465,3862374.908,0,,8340.07,-3.56000058,0.999573145,0,0,1,-0.682591727,,
1.57E+12,10/13/2019 4:00,8336.51,8354.11,8326.28,8333.52,1320.441,1.57E+12,11009860.96,2326,519.754,4333752.137,0,,8333.77,-0.249996432,0.999970002,0,0,1,-0.293362548,,
1.57E+12,10/13/2019 5:00,8333.47,8333.47,8314.59,8323.13,974.927,1.57E+12,8112658.438,2278,541.332,4504710.844,0,,8324.95,-1.820000569,0.99978138,0,0,1,-0.478359124,,
1.57E+12,10/13/2019 6:00,8323.13,8323.13,8307.2,8312.31,863.566,1.57E+12,7180347.578,1870,496.462,4127872.427,0,,8312.17,0.140001879,1.000016843,0,0,1,-0.24742186,,
1.57E+12,10/13/2019 7:00,8310.39,8344.02,8307.53,8319.36,1286.314,1.57E+12,10707571.73,2590,447.552,3725739.321,0,,8321.08,-1.72000052,0.999793296,0,0,1,-0.466672157,,
1.57E+12,10/13/2019 8:00,8318.76,8341.25,8316.06,8340.77,922.18,1.57E+12,7682029.64,2167,349.624,2913324.656,0,,8342.31,-1.539998768,0.999815399,0.0001,0,1,-0.444993989,,
